method,K,integrator,T,h,seed,environment,score,status,source_csv
TD3+BC,1,Imp,0.3,0.3,0,hopper-medium-replay-v2,41.9805,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.3,0.3,0,hopper-expert-v2,106.9729,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.3,0.3,0,halfcheetah-medium-v2,44.6513,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.3,0.3,0,halfcheetah-medium-replay-v2,42.6034,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.3,0.3,0,halfcheetah-expert-v2,93.5834,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.3,0.3,0,walker2d-medium-v2,77.4122,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.3,0.3,0,walker2d-medium-replay-v2,12.1788,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.3,0.3,0,walker2d-expert-v2,107.6188,available,K=1/Imp/seed0.csv
TD3+BC,1,Imp,0.3,0.3,1,hopper-medium-v2,51.5745,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.3,0.3,1,hopper-medium-replay-v2,34.1439,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.3,0.3,1,hopper-expert-v2,101.998,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.3,0.3,1,halfcheetah-medium-v2,44.9894,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.3,0.3,1,halfcheetah-medium-replay-v2,42.9887,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.3,0.3,1,halfcheetah-expert-v2,93.8555,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.3,0.3,1,walker2d-medium-v2,81.8738,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.3,0.3,1,walker2d-medium-replay-v2,76.5749,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.3,0.3,1,walker2d-expert-v2,107.7391,available,K=1/Imp/seed1.csv
TD3+BC,1,Imp,0.3,0.3,2,hopper-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.3,0.3,2,hopper-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.3,0.3,2,hopper-expert-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.3,0.3,2,halfcheetah-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.3,0.3,2,halfcheetah-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.3,0.3,2,halfcheetah-expert-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.3,0.3,2,walker2d-medium-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.3,0.3,2,walker2d-medium-replay-v2,,missing,K=1/Imp/seed2.csv
TD3+BC,1,Imp,0.3,0.3,2,walker2d-expert-v2,,missing,K=1/Imp/seed2.csv
